step time temp atoms pxx pyy pzz lx ly lz density
0 500000 272.235088401097 750 1.03795799260286 1.71711484899447 1.61802760324689 222.526063241172 222.526063241172 222.526063241172 0.0016580129337208
1000 501000 289.186398866804 750 1.10138687555839 1.18143507530947 0.725460181419732 225.675204890372 225.675204890372 225.675204890372 0.0015895677103032
2000 502000 300.038761571852 750 0.939108194637495 1.00251721419409 0.943178351776498 232.675300756423 232.675300756423 232.675300756423 0.00145037303401488
3000 503000 282.422722916628 750 0.942915215481918 1.02518496893849 0.818426140350624 232.581088435615 232.581088435615 232.581088435615 0.00145213626895834
4000 504000 279.899243519265 750 1.15970831479153 1.15179599508274 1.04796648090175 222.60470345365 222.60470345365 222.60470345365 0.00165625636122993
5000 505000 265.79542076698 750 1.11609311110114 1.15456451739584 1.1506634873705 222.286379258782 222.286379258782 222.286379258782 0.00166338205890576
6000 506000 272.766767470926 750 1.16969834404256 1.06079340711697 1.13893860253181 224.577571761185 224.577571761185 224.577571761185 0.00161298906530249
7000 507000 290.009729133423 750 0.983835728437909 1.34418168602476 1.00095787316624 229.333726263193 229.333726263193 229.333726263193 0.00151470055861009
8000 508000 275.699854879354 750 0.890896743479841 1.14294136741872 1.12498347975192 228.321949834891 228.321949834891 228.321949834891 0.00153492646655091
9000 509000 268.75063408363 750 0.924309104304143 1.26319676900252 1.12866042115995 219.589083944214 219.589083944214 219.589083944214 0.00172543390408206
10000 510000 282.111000084793 750 0.982977524347207 1.24411409582499 1.21289371282078 217.872102108533 217.872102108533 217.872102108533 0.0017665490374015
11000 511000 285.39358698748 750 0.739562313823822 1.32881032654919 1.10030363003176 221.321897535665 221.321897535665 221.321897535665 0.0016852231378603
12000 512000 282.945849948458 750 1.1024557038381 0.946117059942053 0.766724863019256 226.455715409655 226.455715409655 226.455715409655 0.00157318830813744
13000 513000 272.15090524969 750 1.00964060076546 0.903302589019329 0.929991759226165 224.147863361553 224.147863361553 224.147863361553 0.00162228352667713
14000 514000 279.256509413829 750 1.14798449414576 1.06456822293535 1.21698765460222 215.610422466265 215.610422466265 215.610422466265 0.00182272569900567
15000 515000 278.099847831106 750 1.00504654708179 0.988063155837393 1.46392296131944 215.660579272563 215.660579272563 215.660579272563 0.00182145424495309
16000 516000 298.62043609537 750 1.3807288589168 1.43823188914066 0.705988753621658 220.047198988303 220.047198988303 220.047198988303 0.00171467981022897
