step time temp atoms pxx pyy pzz lx ly lz density
0 500000 272.125779791874 1500 1500.1439648417 1676.93081133213 1258.22239711814 32.0416968843753 32.0416968843753 32.0416968843753 1.1107441666355
1000 501000 276.371296220621 1500 26.8381827822727 -44.9770712457529 -173.673985593088 32.2107869894158 32.2107869894158 32.2107869894158 1.0933433217333
2000 502000 289.328580422163 1500 114.347523457506 920.002756783051 645.32663155345 31.6511253682221 31.6511253682221 31.6511253682221 1.15237305686556
3000 503000 287.891382509319 1500 37.2431538508723 377.206911000497 189.270401532984 32.0575328335965 32.0575328335965 32.0575328335965 1.10909890584495
4000 504000 283.798519917347 1500 183.335666662053 -240.130879548787 -321.158177147438 31.9030143080185 31.9030143080185 31.9030143080185 1.12529245802424
5000 505000 273.479895498748 1500 -266.792647911512 487.605717503639 355.700386362984 31.9488842618923 31.9488842618923 31.9488842618923 1.12045256690515
6000 506000 274.952145395564 1500 -24.3412653882144 127.7562392303 280.928058418022 32.2900145157198 32.2900145157198 32.2900145157198 1.08531509486588
7000 507000 280.434284222701 1500 183.579493200221 221.63293132614 281.988101758708 31.8650717085142 31.8650717085142 31.8650717085142 1.12931699450054
8000 508000 288.158150833393 1500 76.5792003329629 -497.580068701434 47.5333158670544 32.367897710525 32.367897710525 32.367897710525 1.07749951958335
9000 509000 270.616537076872 1500 71.753519286968 96.7129245544908 283.585511540121 31.9445696839569 31.9445696839569 31.9445696839569 1.12090662838787
10000 510000 270.500126087885 1500 -124.547866184748 120.83715247202 -441.069367464026 32.1436633246449 32.1436633246449 32.1436633246449 1.10020712292338
11000 511000 274.37356598307 1500 102.355284162007 250.977625616562 201.794496100802 31.9575068104945 31.9575068104945 31.9575068104945 1.11954587381098
12000 512000 280.974497568128 1500 -147.147627883798 97.3974259648069 274.525161727792 31.9294262419868 31.9294262419868 31.9294262419868 1.12250225082826
13000 513000 270.200605755431 1500 497.761352987723 -399.591147570404 -69.6580664498381 32.0388062862801 32.0388062862801 32.0388062862801 1.11104483370425
14000 514000 274.84273879413 1500 151.164207913931 510.220385534273 129.787199669363 32.0748157971236 32.0748157971236 32.0748157971236 1.10730701503986
15000 515000 274.37589730003 1500 -134.956459664175 -314.383078004319 42.7265349582652 32.4505441949842 32.4505441949842 32.4505441949842 1.06928779849049
16000 516000 286.267438367191 1500 317.059474933727 281.951912386591 391.027799774552 31.971223017202 31.971223017202 31.971223017202 1.11810557836763
17000 517000 280.768282871394 1500 -336.268541718895 -71.3120138041453 -134.271225697818 32.3332652139574 32.3332652139574 32.3332652139574 1.08096559229763
18000 518000 283.593847716336 1500 361.656865280554 305.788747958148 94.3024966027963 32.0191006756923 32.0191006756923 32.0191006756923 1.11309741731691
19000 519000 286.433929191728 1500 -318.299583051872 108.236485885558 174.552592595285 32.0376452375078 32.0376452375078 32.0376452375078 1.11116563134529
20000 520000 283.547072465015 1500 -42.5041962075958 421.458150755425 29.892565023676 32.1008471407311 32.1008471407311 32.1008471407311 1.10461537382392
21000 521000 269.407974760185 1500 -63.6160974272852 -206.851140473468 -102.964099579455 32.0517878748619 32.0517878748619 32.0517878748619 1.10969539702424
22000 522000 277.810308005026 1500 -124.693178024997 -126.228876425133 130.93938606027 32.1050048551699 32.1050048551699 32.1050048551699 1.10418627432053
23000 523000 272.82956425169 1500 178.01905317761 -158.810439515536 84.6531548419353 32.0633916581802 32.0633916581802 32.0633916581802 1.10849103234998
24000 524000 280.621991328626 1500 78.5929020024957 -150.537386257825 234.931712566697 32.3440231328616 32.3440231328616 32.3440231328616 1.07988733378888
25000 525000 290.505678435621 1500 34.700533665816 393.391833151074 12.7105227994407 32.1821035880193 32.1821035880193 32.1821035880193 1.09626936710237
26000 526000 284.170827537661 1500 299.543183718583 159.378748719911 110.921365324853 32.2230720196732 32.2230720196732 32.2230720196732 1.09209328862831
27000 527000 287.81027514319 1500 86.6467427119034 -145.101873965432 -262.544807187566 32.297881624718 32.297881624718 32.297881624718 1.08452220578462
28000 528000 280.964310743332 1500 91.1286827763706 -307.765546157331 153.944136583592 32.1744024042123 32.1744024042123 32.1744024042123 1.09705675635168
29000 529000 276.931272612617 1500 290.88591180937 3.10070259774411 -161.971584245613 32.2895083478397 32.2895083478397 32.2895083478397 1.08536613561695
30000 530000 274.517524675805 1500 411.080624839178 89.5626037333787 -276.597493585247 32.251506657937 32.251506657937 32.251506657937 1.08920729253161
31000 531000 282.792083211114 1500 140.690284840907 402.000799369549 171.384438034823 32.2190308997031 32.2190308997031 32.2190308997031 1.09250427245743
32000 532000 268.27171553622 1500 688.123539353827 134.250928070041 75.3592148914414 32.0097474561208 32.0097474561208 32.0097474561208 1.11407344066328
33000 533000 293.43991432885 1500 144.971323663953 11.383207595421 -255.421691756991 32.3293298670349 32.3293298670349 32.3293298670349 1.08136038790382
34000 534000 277.630713485016 1500 -281.198432956296 -8.63836947919089 163.453547356622 32.1341705529268 32.1341705529268 32.1341705529268 1.10118244923084
35000 535000 287.71885246717 1500 -52.9025477244335 35.9072055337347 -225.321850965421 32.3611461020852 32.3611461020852 32.3611461020852 1.07817406671239
36000 536000 278.497951152836 1500 64.020173684533 479.338366833759 1.17505377025124 32.0273657550716 32.0273657550716 32.0273657550716 1.11223589177211
37000 537000 283.776031603549 1500 198.78599275855 236.595555336297 431.292639518743 32.0787902464213 32.0787902464213 32.0787902464213 1.10689549169532
38000 538000 282.947660676071 1500 243.107780740825 50.3394235449721 219.695632151695 32.0412344746925 32.0412344746925 32.0412344746925 1.11079225713001
39000 539000 280.998388619044 1500 138.853601022933 116.708292242327 -283.190360409388 32.2513125924857 32.2513125924857 32.2513125924857 1.08922695487336
40000 540000 272.617395556359 1500 130.817425854325 297.429473550633 598.847272090385 32.1352608452056 32.1352608452056 32.1352608452056 1.10107036954426
41000 541000 296.969176590897 1500 279.753420663704 43.1911121659428 -123.976944598425 32.2550970995637 32.2550970995637 32.2550970995637 1.08884360118497
