step time temp atoms pxx pyy pzz lx ly lz density IL_con ACN_con
0 0 300 3065 -3245.44468128322 13575.138893256 5512.5250615009 45 45 45 1.03620270956563 1.18449999749433 17.0385768870338
1000 1000 294.154227749326 3065 189.449470128584 98.1127978896348 343.241339170755 47.7340217617846 47.7340217617846 47.7340217617846 0.868156826628469 0.992404043603763 14.2753504733772
2000 2000 272.563185116482 3065 76.1751853668854 296.663008389331 298.606970294705 47.64587309544 47.64587309544 47.64587309544 0.872984224863679 0.997922320235086 14.3547287603047
3000 3000 313.45638430515 3065 -454.3512787082 -302.864102558617 -161.345619655068 47.7425014877203 47.7425014877203 47.7425014877203 0.867694318951114 0.991875343632598 14.2677453276381
4000 4000 300.409825966202 3065 -296.368455300251 -164.721586960982 -1.46363228293997 47.6201391948026 47.6201391948026 47.6201391948026 0.874400270601845 0.999541024913066 14.3780132045187
5000 5000 292.528352116062 3065 -65.5937822634107 -157.980001257492 184.524796822923 47.4535027464318 47.4535027464318 47.4535027464318 0.88364421720026 1.0101079290734 14.5300140566712
6000 6000 308.902254231651 3065 42.4264353906551 41.4498661102745 422.905106587664 47.3901324870794 47.3901324870794 47.3901324870794 0.887193796367717 1.01416551015879 14.5883807999764
7000 7000 301.638036035923 3065 -91.376836029893 141.313352236121 -124.395943946553 47.5285752762045 47.5285752762045 47.5285752762045 0.879463615527145 1.00532901600396 14.4612712302109
8000 8000 297.198673402565 3065 -26.9583149453753 -10.6996636185711 -190.455593986813 47.566670744951 47.566670744951 47.566670744951 0.877352257756295 1.00291548894869 14.4265535718004
9000 9000 297.692373639655 3065 -0.266635522246155 -40.5517314245692 83.8152773253698 47.5067859649321 47.5067859649321 47.5067859649321 0.880674286589615 1.00671295358415 14.4811786400182
10000 10000 297.63774760135 3065 -84.906990606866 102.251884614939 81.0140610607122 47.542296821159 47.542296821159 47.542296821159 0.878702349175531 1.00445880018301 14.4487535103248
11000 11000 300.801184936652 3065 55.0666404310789 -208.927482584431 34.8223234286051 47.4612166493855 47.4612166493855 47.4612166493855 0.883213429385724 1.00961548858803 14.5229304896894
12000 12000 307.278411693163 3065 292.450750298686 -15.4419782846071 34.5485499311658 47.4803695348844 47.4803695348844 47.4803695348844 0.882145034400628 1.00839418908217 14.5053625660281
13000 13000 304.650877927764 3065 -70.2160565813756 74.2101642434964 95.5535530441973 47.569977703443 47.569977703443 47.569977703443 0.877169295773922 1.00270634216143 14.4235450757067
14000 14000 300.349749914426 3065 -283.103737042041 -299.882521445935 -234.421719451161 47.8312275263265 47.8312275263265 47.8312275263265 0.862874599973615 0.986365845284379 14.1884933129368
15000 15000 301.114947272405 3065 -118.760954080646 -20.5527552678216 29.9734292504142 47.6213471199553 47.6213471199553 47.6213471199553 0.874333734267606 0.999464966158334 14.3769191285853
16000 16000 304.594179388223 3065 97.2724161483552 148.778984918468 82.6200601341388 47.363646596029 47.363646596029 47.363646596029 0.888682992993445 1.01586783479388 14.612868085112
17000 17000 301.078622117681 3065 72.0217445625888 24.7130985888855 299.283728283719 47.4514961845587 47.4514961845587 47.4514961845587 0.883756320837684 1.01023607654592 14.5318574087759
18000 18000 302.386796035269 3065 356.062990321297 154.610885627436 128.639612744895 47.3713596545226 47.3713596545226 47.3713596545226 0.888248974550686 1.01537170132538 14.6057313959882
19000 19000 297.79153635385 3065 -179.370712353671 1.69130954963714 130.321958445288 47.5690074659184 47.5690074659184 47.5690074659184 0.877222970212616 1.00276769827632 14.4244276598209
