# Chunk-averaged data for fix stress_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_mystress[1] c_mystress[2] c_mystress[3] density/number
1000000 1500 310000
  146 -35.45 53.131 -111723 -114460 69216.2 0.106262
  147 -35.35 44.67 -87443.7 -84643.3 100007 0.08934
  148 -35.25 39.564 -48190.2 -43324.8 147653 0.079128
  149 -35.15 36.813 -11874.4 -13973.6 180509 0.073626
  150 -35.05 36.011 26021.5 22161.3 224037 0.072022
  151 -34.95 35.111 53891.4 58723.6 257793 0.070222
  152 -34.85 34.698 66050.9 69902.1 271727 0.069396
  153 -34.75 34.104 72035.2 71995.6 267675 0.068208
  154 -34.65 33.069 78727.6 85515.8 272649 0.066138
  155 -34.55 32.605 67941.5 76357.2 241936 0.06521
  156 -34.45 32.539 60060.7 61007.7 220294 0.065078
  157 -34.35 33.14 54360 49969.2 193171 0.06628
  158 -34.25 33.762 36438.2 39172.1 162542 0.067524
  159 -34.15 35.321 19466.1 18249.4 122372 0.070642
  160 -34.05 37.256 -883.433 6055.93 73723.4 0.074512
  161 -33.95 38.867 -21513.1 -17299.7 9267.62 0.077734
  162 -33.85 42.051 -43738.4 -40725.8 -43880.9 0.084102
  163 -33.75 45.422 -55869.5 -52297.2 -86421.6 0.090844
  164 -33.65 49.802 -64746.3 -65843.3 -113688 0.099604
  165 -33.55 54.397 -55974.5 -63365.1 -132297 0.108794
  166 -33.45 59.432 -58474.6 -59766 -135721 0.118864
  167 -33.35 63.267 -47106.5 -49422.7 -131572 0.126534
  168 -33.25 66.052 -37257.8 -42635.4 -120507 0.132104
  169 -33.15 68.05 -18859.6 -18020.2 -97302.1 0.1361
  170 -33.05 67.953 -3837.79 -3998.28 -66860.7 0.135906
  171 -32.95 67.096 19915.7 18324.8 -42973.9 0.134192
  172 -32.85 65.254 23335.6 22594.2 -17541.9 0.130508
  173 -32.75 62.389 40850.3 42074.7 6391.87 0.124778
  174 -32.65 60.141 44747.5 48918.9 25567.2 0.120282
  175 -32.55 57.796 49312.2 46305.7 36609.8 0.115592
  176 -32.45 55.494 47725.9 49714.1 44704.5 0.110988
  177 -32.35 53.788 35621.8 36158.9 51793.2 0.107576
  178 -32.25 51.372 25522.6 28405.2 52975.8 0.102744
  179 -32.15 49.74 15614.8 16412.5 49260.7 0.09948
  180 -32.05 48.506 2194.3 1834.11 52486.6 0.097012
  181 -31.95 47.447 -4928.3 -9605.58 50059.6 0.094894
  182 -31.85 45.925 -16442.8 -19536.8 40187.3 0.09185
  183 -31.75 45.27 -14624.6 -23562.2 38614.1 0.09054
  184 -31.65 45.044 -20910.2 -23556.2 31768.7 0.090088
  185 -31.55 44.89 -23824.6 -24586.4 18042 0.08978
  186 -31.45 44.668 -28750 -22591.1 11870.6 0.089336
  187 -31.35 45.161 -25860.2 -19250.8 7634.04 0.090322
  188 -31.25 45.43 -19022.3 -20419 4720.23 0.09086
  189 -31.15 46.008 -18150.3 -19945.4 -8446.94 0.092016
  190 -31.05 46.333 -6704.65 -12485.8 -10268.5 0.092666
  191 -30.95 46.774 -7528.36 -10943 -11716.4 0.093548
  192 -30.85 48.095 -4423.15 -863.666 -3850.83 0.09619
  193 -30.75 48.405 1684.03 -3251.04 -12041 0.09681
  194 -30.65 49.41 1467 1999.71 -8789.94 0.09882
  195 -30.55 49.648 4646.21 2811.9 -4651.63 0.099296
  196 -30.45 50.607 7001.37 10433.1 -7849.62 0.101214
  197 -30.35 51.121 6748.3 -401.043 -5644.33 0.102242
  198 -30.25 51.322 11191.1 11471.2 -3928.61 0.102644
  199 -30.15 51.708 8533.6 8624.62 -3406.87 0.103416
  200 -30.05 52.324 3680.49 12388.2 -4365.84 0.104648
  201 -29.95 51.687 10678 11441.9 -2386.85 0.103374
  202 -29.85 52.683 2792.04 3298.38 -5673.52 0.105366
  203 -29.75 52.183 1627.2 1426.73 -9739.16 0.104366
  204 -29.65 52.563 -9115.84 -3313.3 -8709.19 0.105126
  205 -29.55 52.432 -6083.52 -4854.43 -11877.2 0.104864
  206 -29.45 52.393 -2140.02 -8222.39 -135.497 0.104786
  207 -29.35 52.374 3351.99 -395.852 -8705.84 0.104748
  208 -29.25 51.821 -319.654 -2536.2 -5945.62 0.103642
  209 -29.15 52.058 916.661 2035.05 -7380.84 0.104116
  210 -29.05 51.23 -464.709 -10169.1 -6786.99 0.10246
  211 -28.95 51.035 1007.89 -2373.26 -170.321 0.10207
  212 -28.85 51.378 355.788 -625.49 2499.54 0.102756
  213 -28.75 50.672 203.796 -1226.62 6446.54 0.101344
  214 -28.65 50.431 1533.08 3638.4 7151.82 0.100862
  215 -28.55 50.117 6754.02 -2280.37 10318.6 0.100234
  216 -28.45 49.362 -1050.79 1265.22 3418.97 0.098724
  217 -28.35 49.323 5357.15 -1142.79 8927.59 0.098646
  218 -28.25 49.266 581.17 6409.61 13877.6 0.098532
  219 -28.15 49.461 3177.56 6211.15 15689.5 0.098922
  220 -28.05 48.995 1454.97 -678.676 10692.6 0.09799
  221 -27.95 49.013 5509.65 -1490.2 1508.79 0.098026
  222 -27.85 49.297 1215.06 3025.55 5323.95 0.098594
  223 -27.75 48.982 822.027 -166.658 11161.6 0.097964
  224 -27.65 49.534 -2673.13 2719.28 7306.16 0.099068
  225 -27.55 49.657 -2810.97 -4838.99 1610.53 0.099314
  226 -27.45 49.713 -2423.94 -1184.46 -3468.35 0.099426
  227 -27.35 50.626 -4401.07 -1084.87 -1967.22 0.101252
  228 -27.25 49.774 -5239.61 -3188.76 -9684.5 0.099548
  229 -27.15 50.105 -3168.78 -3718.75 -10169.4 0.10021
  230 -27.05 50.633 -1019.63 -10085.6 -3117.79 0.101266
  231 -26.95 50.782 -1635.56 -2830.41 -7413.34 0.101564
  232 -26.85 50.81 1507.9 246.159 -8743.56 0.10162
  233 -26.75 50.444 305.98 33.4404 39.5353 0.100888
  234 -26.65 51.083 66.6498 3579.44 -2073.75 0.102166
  235 -26.55 50.934 -611.212 1996.88 -6384.64 0.101868
  236 -26.45 50.746 4931 405.313 -2319.31 0.101492
  237 -26.35 50.844 2411.58 3100.75 -1390.66 0.101688
  238 -26.25 50.917 2877.37 -278.45 3657.29 0.101834
  239 -26.15 51.01 1362.5 1097.78 -2391.54 0.10202
  240 -26.05 50.724 3050.27 3769.67 1549.73 0.101448
  241 -25.95 50.704 3281.76 5185.93 1577.69 0.101408
  242 -25.85 50.798 6900.75 3918.06 2795.03 0.101596
  243 -25.75 50.875 1373.86 -2127.13 1131.32 0.10175
  244 -25.65 50.431 -1406.06 -2267.27 538.315 0.100862
  245 -25.55 50.678 5437.67 4152.43 4588.59 0.101356
  246 -25.45 50.522 4473.76 -2583.92 3193.02 0.101044
  247 -25.35 50.446 -793.04 107.47 2581.87 0.100892
  248 -25.25 50.235 -2429.12 -1724.39 724.315 0.10047
  249 -25.15 50.582 4997.87 4738.42 2289.09 0.101164
  250 -25.05 50.096 890.638 1120.86 2471.44 0.100192
  251 -24.95 50.608 -2459.48 -2680.68 -2761.02 0.101216
  252 -24.85 50.3 -2486.48 -3919.89 -1439.47 0.1006
  253 -24.75 50.339 -3912.93 -3881.29 -3772.25 0.100678
  254 -24.65 50.37 2608.92 1868.17 -277.35 0.10074
  255 -24.55 50.75 -1340.06 -3415.93 -93.2232 0.1015
  256 -24.45 50.202 -628.258 1179.87 2467.41 0.100404
  257 -24.35 50.649 -189.316 -1492.12 -2455.47 0.101298
  258 -24.25 50.662 -2853.71 -160.983 6017.44 0.101324
  259 -24.15 49.937 4608.45 8319.2 920.244 0.099874
  260 -24.05 50.761 -891.205 3234.93 371.9 0.101522
  261 -23.95 50.478 -2058.69 2029.5 434.443 0.100956
  262 -23.85 50.453 770.627 -2015.66 639.081 0.100906
  263 -23.75 50.608 1290.53 -889.378 -5707.04 0.101216
  264 -23.65 50.59 5109.82 -386.107 5466.32 0.10118
  265 -23.55 50.199 -6584.65 -1884.85 3439.84 0.100398
  266 -23.45 50.175 5741.35 1558.94 -634.539 0.10035
  267 -23.35 50.322 -2110.22 -913.164 -2642.14 0.100644
  268 -23.25 50.189 7423.53 1602.79 3754.2 0.100378
  269 -23.15 50.782 -661.248 -736.496 3051.01 0.101564
  270 -23.05 50.459 -923.97 -1657.41 460.496 0.100918
  271 -22.95 50.645 69.5127 1611.08 -566.069 0.10129
  272 -22.85 50.753 -1894.43 -2715.19 -3805.26 0.101506
  273 -22.75 50.686 -3405.08 -2416.37 -1131.42 0.101372
  274 -22.65 50.648 817.297 2330.84 901.902 0.101296
  275 -22.55 50.528 966.142 5889.84 -1683.5 0.101056
  276 -22.45 50.945 -2253.81 -5962.94 -4152.03 0.10189
  277 -22.35 51.14 -1480.73 1956.11 -774.369 0.10228
  278 -22.25 50.709 -995.206 1900.86 -1265.61 0.101418
  279 -22.15 50.512 564.939 120.412 3040.98 0.101024
  280 -22.05 50.575 895.568 -1557.53 5183.27 0.10115
  281 -21.95 50.671 708.873 -2825.74 1377.15 0.101342
  282 -21.85 50.809 9145.8 6411.98 -1774.64 0.101618
  283 -21.75 50.689 8431.49 -4576.52 -178.369 0.101378
  284 -21.65 50.503 -5821.31 -7253.47 3283.67 0.101006
  285 -21.55 50.34 1043.25 8862.54 -80.9896 0.10068
  286 -21.45 50.578 5194.42 1099.45 -2338.14 0.101156
  287 -21.35 50.761 646.14 -2955.45 474.013 0.101522
  288 -21.25 50.656 -5432.11 -5414.91 -2025.43 0.101312
  289 -21.15 50.231 4226.99 1080.21 -2319.91 0.100462
  290 -21.05 50.226 3770.42 -2672.25 1258.04 0.100452
  291 -20.95 50.871 -1616.81 -222.541 4439.98 0.101742
  292 -20.85 50.727 780.322 -2982.79 3282.28 0.101454
  293 -20.75 50.416 -6107.03 2777.27 506.674 0.100832
  294 -20.65 50.772 5325.1 586.789 6149.18 0.101544
  295 -20.55 50.577 2513.97 4199.09 -4821.78 0.101154
  296 -20.45 50.883 -3792.45 -6507.65 -6212.91 0.101766
  297 -20.35 50.613 -4700.95 -180.353 4457.59 0.101226
  298 -20.25 50.583 -3026.97 2962.11 -2495.31 0.101166
  299 -20.15 50.573 4613.7 -881.874 42.1767 0.101146
  300 -20.05 50.738 -3129.51 2740.13 2139.21 0.101476
  301 -19.95 50.491 -908.445 -4259.51 -5402.75 0.100982
  302 -19.85 50.93 -2622.74 1886.57 3318.71 0.10186
  303 -19.75 50.759 5006.94 2216.09 2756.03 0.101518
  304 -19.65 50.888 6073.81 1833.04 -6930.49 0.101776
  305 -19.55 50.577 -803.17 -834.886 1308.01 0.101154
  306 -19.45 50.264 1725.1 2544.7 1455.61 0.100528
  307 -19.35 50.634 -3977.13 -3591.57 -2025.11 0.101268
  308 -19.25 50.932 4438.63 957.432 3836.91 0.101864
  309 -19.15 50.089 -3741.4 -4307.81 2304.43 0.100178
  310 -19.05 50.521 1837.86 3404.96 1638.54 0.101042
  311 -18.95 50.208 -2283.77 -2222.92 -5499.71 0.100416
  312 -18.85 50.756 -3753.01 2479.62 2620.37 0.101512
  313 -18.75 50.771 1533.74 3775.43 991.369 0.101542
  314 -18.65 50.398 4815.02 7326.79 -1572.47 0.100796
  315 -18.55 50.518 5303.19 95.5809 -140.186 0.101036
  316 -18.45 50.633 -2852.73 -3624.21 -2809.58 0.101266
  317 -18.35 50.52 -2205.95 -434.159 -2020.53 0.10104
  318 -18.25 50.344 5197.37 6013.7 -1885.91 0.100688
  319 -18.15 50.569 1627.6 -949.629 2590.82 0.101138
  320 -18.05 50.729 2396.06 -1111.82 3598.8 0.101458
  321 -17.95 50.632 -5268.93 -3109.15 -4630.28 0.101264
  322 -17.85 50.863 -3807.8 -408.056 -405.739 0.101726
  323 -17.75 50.402 -5455.35 1290.91 2598.83 0.100804
  324 -17.65 50.585 4624.8 -3267.46 -762.962 0.10117
  325 -17.55 50.769 1532.15 5766.24 2416.89 0.101538
  326 -17.45 50.373 -2267.72 -4122.32 -630.507 0.100746
  327 -17.35 50.399 -2526.8 3052.27 1667.88 0.100798
  328 -17.25 50.335 -1213.38 3219.54 3690.85 0.10067
  329 -17.15 51.087 2780.03 -812.904 2833.9 0.102174
  330 -17.05 50.858 3660.3 -2247.33 -894.981 0.101716
  331 -16.95 50.706 -3397.14 447.587 -1593.37 0.101412
  332 -16.85 50.466 940.725 -6264.23 1754 0.100932
  333 -16.75 50.722 8021.89 -3407.38 2853.64 0.101444
  334 -16.65 50.45 -2407.25 1427.51 -792.609 0.1009
  335 -16.55 50.903 -3791.85 167.946 1369.48 0.101806
  336 -16.45 50.227 900.093 -2648.17 -5085.9 0.100454
  337 -16.35 50.857 -1479.18 7320.18 5464.43 0.101714
  338 -16.25 50.32 6654.47 3463.91 -661.059 0.10064
  339 -16.15 50.763 1392.68 78.891 -929.001 0.101526
  340 -16.05 50.403 1934.53 -179.866 -2035.29 0.100806
  341 -15.95 50.698 1062.4 4838.15 -710.726 0.101396
  342 -15.85 50.219 -366.279 -3304.63 2515.48 0.100438
  343 -15.75 50.952 -285.135 -4934.15 387.171 0.101904
  344 -15.65 50.651 979.407 -2328.24 463.759 0.101302
  345 -15.55 50.954 4161.83 3182.18 6490.88 0.101908
  346 -15.45 50.785 3208.53 597.625 -344.108 0.10157
  347 -15.35 50.727 -1094.64 -163.092 -1849.23 0.101454
  348 -15.25 50.498 -2796.55 -2568.27 1428.93 0.100996
  349 -15.15 50.715 -2134.06 -1771.36 3453.37 0.10143
  350 -15.05 50.704 2222.26 -1682.95 -381.439 0.101408
  351 -14.95 50.468 -7504.71 1821.3 -5686.82 0.100936
  352 -14.85 50.934 -2563.78 -3360.92 -6429.69 0.101868
  353 -14.75 50.889 -1470.84 -1658.09 -4064.41 0.101778
  354 -14.65 50.561 284.33 -1576.35 2713.02 0.101122
  355 -14.55 50.839 957.112 4371.86 1501.65 0.101678
  356 -14.45 49.912 2702.54 2999.74 2618.67 0.099824
  357 -14.35 50.548 4952.67 4162.26 1152.96 0.101096
  358 -14.25 50.903 1742.62 2215.05 3382.3 0.101806
  359 -14.15 50.963 641.034 -4338.92 1366.21 0.101926
  360 -14.05 50.681 2178.96 -802.3 841.692 0.101362
  361 -13.95 50.59 -934.937 2672.53 2113.65 0.10118
  362 -13.85 50.34 -3574.33 859.63 -1719.81 0.10068
  363 -13.75 50.805 -2239.35 1140.74 3467.31 0.10161
  364 -13.65 50.297 -3256.54 1922.32 37.9416 0.100594
  365 -13.55 51.014 6437.94 798.536 -3161.04 0.102028
  366 -13.45 50.354 3640.68 -2100.67 -5111.03 0.100708
  367 -13.35 50.816 2066.49 2961.18 2123.86 0.101632
  368 -13.25 50.626 -2739.76 -1111.19 615.596 0.101252
  369 -13.15 50.434 1639.14 806.46 2884.34 0.100868
  370 -13.05 49.861 -2165.59 4853.29 178.685 0.099722
  371 -12.95 50.386 -2718.62 -51.1627 3173.45 0.100772
  372 -12.85 51.1 -2736.92 189.613 -3411.76 0.1022
  373 -12.75 50.687 224.466 -391.101 2428.27 0.101374
  374 -12.65 50.627 -4501.93 3690.43 467.76 0.101254
  375 -12.55 50.579 379.362 -5059.69 -2576.57 0.101158
  376 -12.45 50.302 313.32 -1050.56 987.467 0.100604
  377 -12.35 50.848 -5201.24 1543.85 -827.062 0.101696
  378 -12.25 50.497 -615.965 -1734.56 -2746.92 0.100994
  379 -12.15 50.472 3007.05 1848.38 -1810.91 0.100944
  380 -12.05 50.523 494.679 3011.99 -4455.21 0.101046
  381 -11.95 50.924 4396.01 5489.26 1200.87 0.101848
  382 -11.85 50.993 -1485.83 -4195.08 1049.57 0.101986
  383 -11.75 50.754 -184.597 1972.32 2220.94 0.101508
  384 -11.65 50.848 -383.784 -2814.68 4354.75 0.101696
  385 -11.55 50.905 -3234.25 2675.5 -8625.15 0.10181
  386 -11.45 50.585 6471.18 4355.19 -2084.26 0.10117
  387 -11.35 50.78 1490.78 -960.549 2224.5 0.10156
  388 -11.25 50.828 -1911.05 1539.73 3634.76 0.101656
  389 -11.15 50.845 -2761.31 -3189.03 -1471.94 0.10169
  390 -11.05 50.38 -2757.32 -4052.34 1359.71 0.10076
  391 -10.95 50.602 -1216.74 2719.02 -378.966 0.101204
  392 -10.85 50.785 749.762 1198.13 -2216.28 0.10157
  393 -10.75 50.524 4706.87 -4808.18 -1867.44 0.101048
  394 -10.65 50.38 1152.91 -1634.19 -1469.83 0.10076
  395 -10.55 50.562 -872.146 5171.07 2562.26 0.101124
  396 -10.45 50.423 5364.73 3721.27 3499.24 0.100846
  397 -10.35 50.409 945.285 -3005.67 -1457.13 0.100818
  398 -10.25 50.564 1918 73.794 -1546.9 0.101128
  399 -10.15 50.561 -2838.9 -4643.98 1031.83 0.101122
  400 -10.05 50.477 -1906.15 -2084.3 -2121.71 0.100954
  401 -9.95 50.698 2455.33 3902.47 -316.203 0.101396
  402 -9.85 50.659 -2654.05 2164.64 3233.99 0.101318
  403 -9.75 50.476 2051.75 2781.81 2866.9 0.100952
  404 -9.65 50.428 173.637 -3567.05 -3994.13 0.100856
  405 -9.55 50.129 2289.36 2786.37 1806.73 0.100258
