step time temp atoms pxx pyy pzz lx ly lz
100000 100000 301.296470419441 12600 -768.718948738128 -114.397393927285 -181.735942014867 51.1729221284903 51.1729221284903 51.1729221284903
101000 101000 300.770054926613 12600 -490.231291733279 -530.376410138052 -1353.12412028427 51.324589904461 51.324589904461 51.324589904461
102000 102000 303.516604971439 12600 1345.34780322787 -39.8752476153276 336.710240056386 51.1706557468683 51.1706557468683 51.1706557468683
103000 103000 301.911932882871 12600 -500.316004247293 -810.991980789281 3.38778266004783 51.2897757994522 51.2897757994522 51.2897757994522
104000 104000 300.133503666034 12600 -394.051750099298 52.2399313004367 -75.6481805294299 51.2925353622555 51.2925353622555 51.2925353622555
105000 105000 297.099853779567 12600 -348.1476014048 -484.860075680517 333.989255799531 51.1730512961694 51.1730512961694 51.1730512961694
106000 106000 298.936715480846 12600 -319.744409070133 712.870961277133 415.189439316623 51.1805622618025 51.1805622618025 51.1805622618025
107000 107000 298.549479083325 12600 -187.363266439334 -847.401935727068 -333.601958221974 51.2032178754978 51.2032178754978 51.2032178754978
108000 108000 298.93789672989 12600 -386.176113895514 640.251171252012 78.1946383393077 51.2792251074827 51.2792251074827 51.2792251074827
109000 109000 300.204743398079 12600 -196.798618897043 264.664185654074 494.623168045456 51.1387845890467 51.1387845890467 51.1387845890467
110000 110000 301.087807907857 12600 671.107342848977 -651.525571850826 -344.251054746127 51.1652549668064 51.1652549668064 51.1652549668064
111000 111000 300.535522267837 12600 63.5310234581529 -1093.09850628782 58.6601460239891 51.2441518318823 51.2441518318823 51.2441518318823
112000 112000 298.537445195558 12600 224.463076415573 -353.146039629312 -886.847161814499 51.2662038642221 51.2662038642221 51.2662038642221
113000 113000 299.778879922093 12600 1491.66749788077 -383.690961172476 1236.32513141607 51.1957901915597 51.1957901915597 51.1957901915597
114000 114000 301.079365018308 12600 710.340282449676 -279.597328046767 129.566467315844 51.1141771895394 51.1141771895394 51.1141771895394
115000 115000 301.084687722097 12600 101.322393843965 133.443071223589 23.665675450886 51.2076545405301 51.2076545405301 51.2076545405301
116000 116000 300.959450984611 12600 -525.079605700127 81.1751915712591 -424.142589007275 51.2144833215486 51.2144833215486 51.2144833215486
117000 117000 298.652466885301 12600 -750.166920916761 616.489216653807 -751.372773815895 51.2166320851227 51.2166320851227 51.2166320851227
118000 118000 296.084576965473 12600 -109.771840533381 295.47397870297 -537.70304712199 51.1900852223153 51.1900852223153 51.1900852223153
119000 119000 299.132354933862 12600 -810.068893607712 -730.08483047388 -1210.6939562454 51.2758381012233 51.2758381012233 51.2758381012233
120000 120000 296.678874270801 12600 -641.387300770777 -493.125398881937 -48.0040920955789 51.1886215451871 51.1886215451871 51.1886215451871
121000 121000 308.493420123597 12600 -1027.25968431595 -113.252426322476 -168.646300195308 51.1478615843734 51.1478615843734 51.1478615843734
122000 122000 297.292300788361 12600 704.643362778342 631.006758666233 879.547185965344 51.202827521095 51.202827521095 51.202827521095
123000 123000 301.477054334747 12600 659.946624840777 -64.7954898993455 -343.918929548975 51.1612607466857 51.1612607466857 51.1612607466857
124000 124000 302.85036236676 12600 1848.81479190192 180.308011010057 303.259811379233 51.0470036286708 51.0470036286708 51.0470036286708
125000 125000 299.439375905634 12600 443.399049465684 815.212615779681 -31.794002831141 51.1247271641262 51.1247271641262 51.1247271641262
126000 126000 301.611174807685 12600 -1204.37763449468 232.876277637155 -595.063799843231 51.260763365289 51.260763365289 51.260763365289
127000 127000 305.485092936548 12600 541.303222796167 445.836144265378 864.862574357352 51.2016552135599 51.2016552135599 51.2016552135599
128000 128000 301.681163235669 12600 -384.502557481509 891.277095405916 14.7056074054042 51.3051392713488 51.3051392713488 51.3051392713488
129000 129000 305.497713098851 12600 488.636823088044 1161.66271449249 743.972418900313 51.1602930397995 51.1602930397995 51.1602930397995
130000 130000 299.692714617708 12600 -85.6630281208288 175.809265398586 454.167897148483 51.2777125833929 51.2777125833929 51.2777125833929
131000 131000 298.67015358029 12600 161.977402520097 -1106.26989189864 386.236692599949 51.2453804489309 51.2453804489309 51.2453804489309
132000 132000 300.113428200414 12600 311.156536824764 -45.7398199426744 122.228977280874 51.2851751661347 51.2851751661347 51.2851751661347
133000 133000 299.650820951094 12600 -986.037777923691 -1411.82669796131 -345.124786468088 51.3221604293171 51.3221604293171 51.3221604293171
134000 134000 298.607582784288 12600 -93.2238803201993 -883.055744702946 -295.535805174187 51.1645795547828 51.1645795547828 51.1645795547828
135000 135000 300.149807756921 12600 -738.204661455391 -648.117323236132 -448.480500322514 51.326372576377 51.326372576377 51.326372576377
136000 136000 297.09381318283 12600 -144.221507806301 -1566.22143993155 -105.389092063732 51.3339144024969 51.3339144024969 51.3339144024969
137000 137000 301.534140351547 12600 810.154307158541 56.1584792933554 98.5792510209869 51.194197918739 51.194197918739 51.194197918739
138000 138000 298.126595347995 12600 -652.03536013014 -131.480912020426 -153.299030705583 51.2159662311247 51.2159662311247 51.2159662311247
139000 139000 300.339800899612 12600 -179.850154892894 -667.590671193152 -850.107966507697 51.161455789474 51.161455789474 51.161455789474
140000 140000 303.817096318366 12600 801.317056967014 962.102816543756 566.568316324346 51.1712387557044 51.1712387557044 51.1712387557044
141000 141000 302.39912025812 12600 -597.816267596606 319.304121705097 -711.456092894263 51.190292889952 51.190292889952 51.190292889952
142000 142000 297.04651577497 12600 -727.272378064936 1082.52592454988 -264.891207444635 51.3289585719906 51.3289585719906 51.3289585719906
143000 143000 300.317139829395 12600 -321.561611579682 -66.2047345696543 -632.915560588668 51.3137237275236 51.3137237275236 51.3137237275236
