step time temp atoms pxx pyy pzz lx ly lz upper_cmz
58000 58000 297.768425707985 31000 -10438.3009877539 -10434.2687195179 -8764.01818003123 70.710678 70.710678 150 21.0187284198261 
59000 59000 297.654310623893 31000 -10479.2246802608 -10405.0930612214 -8764.40030342262 70.710678 70.710678 150 21.0267555121593 
60000 60000 301.67592921483 31000 -10441.7920415952 -10382.7300399389 -8847.07791176579 70.710678 70.710678 150 21.1000849513993 
61000 61000 300.069126130152 31000 -10275.543844017 -10454.7964541694 -8860.84922315556 70.710678 70.710678 150 21.1056911367594 
62000 62000 298.308387836358 31000 -10472.5563355579 -10351.042538083 -8871.66879131043 70.710678 70.710678 150 21.1237495900594 
63000 63000 302.250071063376 31000 -10356.6808289954 -10315.5812724385 -8843.45269526096 70.710678 70.710678 150 21.1637540857839 
64000 64000 303.523849306187 31000 -10395.3396186992 -10365.3300332044 -8893.60302079767 70.710678 70.710678 150 21.2425452552901 
65000 65000 301.74121406347 31000 -10457.1464650167 -10348.0288392185 -8885.04764261106 70.710678 70.710678 150 21.2541053180842 
66000 66000 298.547213305559 31000 -10411.3682186224 -10458.3139800916 -9071.18659134552 70.710678 70.710678 150 21.2520303346449 
67000 67000 299.225687850686 31000 -10445.6072453958 -10480.312248894 -8884.65224328739 70.710678 70.710678 150 21.2223182449622 
68000 68000 299.215675117996 31000 -10523.0266865837 -10487.3591930023 -8838.92078387904 70.710678 70.710678 150 21.2001757054326 
69000 69000 302.487784875302 31000 -10277.1289910325 -10464.1294925212 -8915.93671616707 70.710678 70.710678 150 21.1506721855368 
70000 70000 301.900726152865 31000 -10369.6296064742 -10421.3202111114 -8839.12276674818 70.710678 70.710678 150 21.1135203807659 
71000 71000 301.61420142024 31000 -10334.275962812 -10321.0130857815 -8853.59096942582 70.710678 70.710678 150 21.0711071516682 
72000 72000 302.842886314689 31000 -10379.0985493531 -10327.5295556159 -8824.45584497311 70.710678 70.710678 150 21.0880972151716 
73000 73000 299.660156047985 31000 -10536.9782338139 -10388.8795534681 -8862.8294699272 70.710678 70.710678 150 21.0906529801728 
74000 74000 300.816468520758 31000 -10407.8380656119 -10368.4008406799 -8883.56291280913 70.710678 70.710678 150 21.1604760961297 
75000 75000 300.179382536594 31000 -10331.7458512472 -10498.0107026343 -8878.92857143387 70.710678 70.710678 150 21.1762325985337 
76000 76000 299.987722490657 31000 -10423.8812577898 -10384.7883003451 -8879.14944904328 70.710678 70.710678 150 21.1650871514593 
77000 77000 298.958718577387 31000 -10368.4904252764 -10440.7645456531 -8711.17821053995 70.710678 70.710678 150 21.2036960943125 
78000 78000 300.386427778008 31000 -10416.2129971766 -10326.8390040058 -8877.9932460461 70.710678 70.710678 150 21.3080910797234 
79000 79000 300.516519675188 31000 -10357.1048248371 -10400.0243816031 -8846.20780683421 70.710678 70.710678 150 21.348798696859 
80000 80000 298.163403450354 31000 -10303.1700447011 -10365.0833911684 -8834.18247169776 70.710678 70.710678 150 21.3313324537014 
81000 81000 298.499101295107 31000 -10360.1395740192 -10490.4070785206 -8874.57708543589 70.710678 70.710678 150 21.3894115141469 
82000 82000 299.455150652223 31000 -10430.3279100598 -10494.7659264175 -9026.06947859663 70.710678 70.710678 150 21.3561816499377 
83000 83000 300.257967207984 31000 -10464.3428675745 -10328.6490524762 -8905.97976729028 70.710678 70.710678 150 21.3098781672361 
84000 84000 303.313178593286 31000 -10331.8273697105 -10374.2150646688 -8853.94755551766 70.710678 70.710678 150 21.229844432202 
85000 85000 301.784332298741 31000 -10310.2395998526 -10414.9293999693 -8782.29841814487 70.710678 70.710678 150 21.1337242773237 
86000 86000 298.876399358938 31000 -10383.0043952409 -10346.8547833668 -8741.63645294104 70.710678 70.710678 150 21.0532245282549 
87000 87000 301.293139619845 31000 -10419.282939558 -10496.3644491141 -8973.84057155492 70.710678 70.710678 150 21.0329309601284 
88000 88000 300.000876012751 31000 -10432.8890779243 -10434.3720006679 -9016.40430278976 70.710678 70.710678 150 20.9391377463368 
89000 89000 297.176610977159 31000 -10357.7832805224 -10346.9216987863 -8819.34934403747 70.710678 70.710678 150 20.865365853425 
90000 90000 302.534492966515 31000 -10152.7787564982 -10344.012406054 -8698.09742789015 70.710678 70.710678 150 20.8459371614342 
91000 91000 302.716246901624 31000 -10306.5617437441 -10430.9221420644 -8792.29334330102 70.710678 70.710678 150 20.8711898936985 
92000 92000 299.091845725312 31000 -10365.9903165236 -10262.7965981254 -8825.91592445733 70.710678 70.710678 150 20.869220085811 
93000 93000 300.566651645648 31000 -10333.9150245133 -10348.1039262551 -8805.4318785042 70.710678 70.710678 150 20.8862275745534 
94000 94000 302.256375805952 31000 -10370.8225349218 -10425.242417425 -8984.56084839627 70.710678 70.710678 150 20.9737809788291 
95000 95000 301.035305695251 31000 -10425.3936121536 -10414.0756931804 -8852.28670186167 70.710678 70.710678 150 21.068126657773 
96000 96000 301.110829208492 31000 -10398.4177526118 -10315.1408897082 -8927.58978086566 70.710678 70.710678 150 21.0396654563814 
97000 97000 299.617558034573 31000 -10316.2140252905 -10479.9439176208 -8704.66481693309 70.710678 70.710678 150 21.0617333710727 
98000 98000 298.127923622298 31000 -10405.0276988478 -10384.6577512502 -9017.40209839754 70.710678 70.710678 150 21.1087286352594 
99000 99000 300.438388139589 31000 -10462.9243050515 -10313.9321676572 -8885.55388123544 70.710678 70.710678 150 21.0849065953223 
100000 100000 301.986650736488 31000 -10353.0762455322 -10426.0500356916 -8855.77571218448 70.710678 70.710678 150 21.1001374328917 
101000 101000 304.910612587413 31000 -10384.8741233375 -10226.4440989601 -8912.9913781477 70.710678 70.710678 150 21.0922745871856 
102000 102000 297.414577957788 31000 -10329.765257366 -10278.9251954717 -8817.77531315692 70.710678 70.710678 150 21.1552205929854 
103000 103000 301.756413900825 31000 -10311.6279041656 -10389.7499187487 -8840.09387772519 70.710678 70.710678 150 21.1665902119104 
104000 104000 300.783862227072 31000 -10559.9367800953 -10441.8494613335 -8876.56977724736 70.710678 70.710678 150 21.1990842398431 
105000 105000 298.747503804123 31000 -10313.8525740377 -10337.8965360148 -9041.0254011266 70.710678 70.710678 150 21.1781704629234 
106000 106000 297.479558108213 31000 -10387.7028331647 -10409.4444027531 -8829.90552168077 70.710678 70.710678 150 21.0657561257075 
107000 107000 299.346936384512 31000 -10259.0474519455 -10400.0340090086 -8840.14682292376 70.710678 70.710678 150 21.035746669833 
108000 108000 300.8471715192 31000 -10340.3167890961 -10422.6827892381 -8902.03087297284 70.710678 70.710678 150 21.0188689854421 
109000 109000 300.848200730816 31000 -10412.7990693488 -10332.7464273844 -8982.42198894939 70.710678 70.710678 150 20.9739097549561 
110000 110000 300.362301189063 31000 -10211.7913694572 -10308.7544916745 -8940.41283572342 70.710678 70.710678 150 20.9103701708472 
111000 111000 301.727634870946 31000 -10347.7241505834 -10437.9097037523 -8648.72301963693 70.710678 70.710678 150 20.8443089046659 
112000 112000 298.412497315691 31000 -10318.1065225619 -10399.8289976679 -8750.50314298956 70.710678 70.710678 150 20.8871213878061 
113000 113000 299.43508073615 31000 -10353.0655899621 -10368.0468094187 -8710.24952889176 70.710678 70.710678 150 20.9410829047987 
114000 114000 298.764632111663 31000 -10410.4458447061 -10380.7767251372 -8724.80056455746 70.710678 70.710678 150 20.9946482067195 
115000 115000 298.445775331171 31000 -10307.736369962 -10315.7576637601 -8827.87555462677 70.710678 70.710678 150 21.1167421147026 
116000 116000 299.836500242739 31000 -10280.5779211573 -10400.1260094567 -8819.07803692997 70.710678 70.710678 150 21.2352662415129 
117000 117000 298.944820928107 31000 -10517.665154804 -10502.8289753092 -8928.29266456483 70.710678 70.710678 150 21.2825129403617 
118000 118000 299.255675028537 31000 -10461.3724018172 -10508.4071287769 -8878.58234438893 70.710678 70.710678 150 21.377355444497 
119000 119000 303.50678097269 31000 -10325.5619086659 -10552.4961450719 -8911.1000162887 70.710678 70.710678 150 21.4165571328127 
120000 120000 301.187023516062 31000 -10340.8780372375 -10290.6818043005 -8923.38061714752 70.710678 70.710678 150 21.3700803186632 
121000 121000 301.994681951848 31000 -10449.5369954982 -10591.9354704591 -8822.75467028328 70.710678 70.710678 150 21.3514654614113 
122000 122000 298.836750726612 31000 -10299.9821944446 -10432.8450417102 -8856.75908575631 70.710678 70.710678 150 21.2423001014466 
123000 123000 302.867527859039 31000 -10252.1432506032 -10452.3059510142 -8808.18760282576 70.710678 70.710678 150 21.1277947371686 
124000 124000 301.166040341652 31000 -10418.7243681932 -10363.5159212304 -8851.09937647 70.710678 70.710678 150 21.0800943948001 
125000 125000 297.815072794891 31000 -10444.2068990186 -10309.3452119365 -8910.52873740426 70.710678 70.710678 150 21.0003749103329 
126000 126000 297.234367036929 31000 -10212.6387809635 -10434.9902950793 -8872.87989028876 70.710678 70.710678 150 20.9307061461713 
127000 127000 298.519408936825 31000 -10392.9132440086 -10320.5046893942 -8802.2615316724 70.710678 70.710678 150 20.9145086928676 
128000 128000 301.091528205274 31000 -10250.1303829379 -10224.6197227952 -8819.82676716381 70.710678 70.710678 150 20.8714850229518 
129000 129000 300.521015589465 31000 -10253.4171019351 -10358.1066248376 -8797.11692361947 70.710678 70.710678 150 20.8492961042503 
130000 130000 301.277491555693 31000 -10361.4538581604 -10326.0304410003 -8996.3799011042 70.710678 70.710678 150 20.8698675781231 
131000 131000 299.860421300145 31000 -10296.2343862765 -10320.9975951241 -8818.37783397514 70.710678 70.710678 150 20.8688688217741 
132000 132000 296.064900377623 31000 -10343.0468388564 -10426.9001288331 -8812.45001410789 70.710678 70.710678 150 20.9437841527196 
133000 133000 296.085530948532 31000 -10342.7587472988 -10374.7043262911 -8826.12521899664 70.710678 70.710678 150 20.9723184354033 
134000 134000 298.949513748144 31000 -10346.8885068566 -10383.0569821903 -8761.47877587161 70.710678 70.710678 150 20.9979889745667 
135000 135000 302.876084251816 31000 -10421.1621526859 -10317.3614280821 -8938.28058396227 70.710678 70.710678 150 21.1297896202516 
136000 136000 299.984546018733 31000 -10448.650921475 -10402.4210350869 -8908.70127758369 70.710678 70.710678 150 21.1917101519969 
137000 137000 299.709010114127 31000 -10365.5961948299 -10452.5825994021 -8839.91738445957 70.710678 70.710678 150 21.2264857469064 
138000 138000 299.387039959123 31000 -10446.5819292445 -10314.3886454198 -8902.02786090323 70.710678 70.710678 150 21.2243279393076 
139000 139000 298.529918256669 31000 -10376.1771562526 -10333.8403738552 -8818.70821522911 70.710678 70.710678 150 21.2485009787105 
140000 140000 298.190308434308 31000 -10535.3735267622 -10429.2972461176 -8853.99622642369 70.710678 70.710678 150 21.244802853904 
141000 141000 298.676837524596 31000 -10523.5157959626 -10443.0703583638 -8981.98297636371 70.710678 70.710678 150 21.2316327376214 
142000 142000 303.073154882428 31000 -10434.8490477179 -10379.4510492882 -8832.81022433256 70.710678 70.710678 150 21.1847296395031 
143000 143000 298.174811136669 31000 -10320.5617341157 -10517.2575935539 -8859.22924198733 70.710678 70.710678 150 21.1316979304916 
144000 144000 298.995582817423 31000 -10450.12057788 -10322.3242563538 -8931.15290063396 70.710678 70.710678 150 21.0520913356669 
145000 145000 302.966832877408 31000 -10374.7395634293 -10367.1318635685 -8804.36430664303 70.710678 70.710678 150 20.9670063652118 
146000 146000 299.383083846151 31000 -10387.6152324431 -10393.7928694003 -8819.774278247 70.710678 70.710678 150 20.9431932997201 
147000 147000 301.580604655336 31000 -10421.2464943102 -10451.4799846304 -8791.09545774114 70.710678 70.710678 150 20.921637487036 
148000 148000 298.393906740001 31000 -10272.252551733 -10323.8070710746 -8997.10981267351 70.710678 70.710678 150 20.9218145883731 
149000 149000 300.235384256971 31000 -10337.4307627679 -10204.220943914 -8752.72081566025 70.710678 70.710678 150 20.9045153477635 
150000 150000 301.062722046419 31000 -10281.3330970424 -10335.1893355682 -8869.94841623377 70.710678 70.710678 150 20.9311565207065 
151000 151000 301.250261335695 31000 -10398.5884875977 -10273.588967554 -8762.94329921109 70.710678 70.710678 150 20.9658113752533 
152000 152000 299.566001800897 31000 -10418.3674919477 -10306.658199808 -8845.41461242929 70.710678 70.710678 150 21.014657979909 
153000 153000 296.11239250168 31000 -10399.8953097481 -10318.2215887219 -8833.9881608136 70.710678 70.710678 150 21.0886205250615 
154000 154000 302.119688564187 31000 -10342.7832668004 -10484.7896571394 -8785.89807811942 70.710678 70.710678 150 21.1566066196546 
155000 155000 300.306802089654 31000 -10309.3976056979 -10164.7807885297 -8870.82330327196 70.710678 70.710678 150 21.171066098849 
156000 156000 301.023637104104 31000 -10458.1407000884 -10363.3868684125 -8989.46857883187 70.710678 70.710678 150 21.2105911926626 
157000 157000 301.506384746165 31000 -10474.8796148348 -10501.853882095 -8716.3163519202 70.710678 70.710678 150 21.2288119981304 
158000 158000 299.534573065215 31000 -10441.8433071102 -10424.7449018319 -8907.96132309459 70.710678 70.710678 150 21.2083253799965 
159000 159000 298.379843436272 31000 -10268.8598480663 -10291.2469103176 -8762.55448182117 70.710678 70.710678 150 21.2431824484646 
160000 160000 300.208612761073 31000 -10423.1180484837 -10327.5957974774 -8870.61833360642 70.710678 70.710678 150 21.2799739357054 
161000 161000 299.105932251002 31000 -10304.444234138 -10373.587983651 -8995.48428953254 70.710678 70.710678 150 21.2855336078403 
162000 162000 299.845606901485 31000 -10360.5106371623 -10428.4332812221 -8916.6493694595 70.710678 70.710678 150 21.2221245403668 
163000 163000 299.558615459243 31000 -10448.5997954454 -10259.4589994986 -8840.14568764512 70.710678 70.710678 150 21.2162680977076 
164000 164000 301.667807196972 31000 -10452.6610386185 -10310.6717454999 -8866.36010934648 70.710678 70.710678 150 21.1489312821601 
165000 165000 301.84126046148 31000 -10595.4940460494 -10634.7410516032 -8810.18347700207 70.710678 70.710678 150 21.1255129306712 
166000 166000 303.562907945214 31000 -10388.4714008632 -10406.8417030255 -8856.1224631278 70.710678 70.710678 150 21.0874079400644 
167000 167000 304.761791723129 31000 -10274.1256694255 -10567.761742134 -8899.1541192538 70.710678 70.710678 150 21.0315909650991 
168000 168000 301.746930573718 31000 -10452.2506782714 -10335.7570535177 -8908.04655539676 70.710678 70.710678 150 21.0282126304444 
169000 169000 302.561776434957 31000 -10323.9785835109 -10426.8814353032 -8920.38863533359 70.710678 70.710678 150 21.0587707368313 
170000 170000 301.248527663569 31000 -10402.1232515797 -10391.6626807422 -8773.00118264827 70.710678 70.710678 150 21.0457099301075 
171000 171000 298.787099693413 31000 -10474.3341307858 -10286.8666074943 -8902.72326679913 70.710678 70.710678 150 21.0444734077115 
172000 172000 297.776681979165 31000 -10426.4768166506 -10435.4196298974 -8905.37475644025 70.710678 70.710678 150 21.0781888560373 
173000 173000 302.385986417371 31000 -10309.127044182 -10366.035596294 -8790.99859451121 70.710678 70.710678 150 21.1185931783165 
174000 174000 300.161826046583 31000 -10351.5465584575 -10508.2346646217 -8802.46622039397 70.710678 70.710678 150 21.1922600106872 
175000 175000 301.036750168327 31000 -10403.1053859625 -10306.8841649118 -8867.77550942825 70.710678 70.710678 150 21.2107579559097 
176000 176000 299.778444602565 31000 -10436.5574957672 -10479.0487718359 -8832.06914575544 70.710678 70.710678 150 21.2056549163436 
177000 177000 297.241914483512 31000 -10396.1830842619 -10401.7727197327 -8815.23355870357 70.710678 70.710678 150 21.1865384946756 
178000 178000 300.627964103098 31000 -10448.900394683 -10447.5838927834 -8934.98086268704 70.710678 70.710678 150 21.2040326564708 
179000 179000 301.545104556478 31000 -10249.2100463451 -10419.014563523 -8922.2720945121 70.710678 70.710678 150 21.2383770178494 
180000 180000 302.121459754968 31000 -10399.5157580005 -10434.8813975162 -8831.33258040788 70.710678 70.710678 150 21.1429030835437 
181000 181000 302.442225184025 31000 -10339.2025541357 -10224.5335920719 -8864.2548067749 70.710678 70.710678 150 21.1050903663782 
182000 182000 302.682368072621 31000 -10467.1005502025 -10328.4780212626 -8741.20454199469 70.710678 70.710678 150 21.0806804589161 
183000 183000 301.299940888735 31000 -10421.7859917093 -10475.1151805243 -8915.36026612835 70.710678 70.710678 150 21.0632005318755 
184000 184000 299.407141717716 31000 -10483.1500027332 -10540.4323425843 -8779.28029646564 70.710678 70.710678 150 21.0104506224964 
185000 185000 301.910023015296 31000 -10299.1682129575 -10262.8128075432 -8777.68313562823 70.710678 70.710678 150 21.0339717019315 
186000 186000 300.202172167235 31000 -10262.2715729902 -10306.7013574786 -8804.56006567514 70.710678 70.710678 150 21.0639830568602 
187000 187000 298.634268882668 31000 -10338.5457427714 -10456.5274693749 -8960.60252454182 70.710678 70.710678 150 21.1490347560639 
188000 188000 300.750234297117 31000 -10400.53151656 -10214.1116346509 -8759.87490715051 70.710678 70.710678 150 21.1772125548535 
189000 189000 300.933996258481 31000 -10303.0382485013 -10292.4185518755 -8766.48827368226 70.710678 70.710678 150 21.2518779705373 
190000 190000 300.240675217311 31000 -10528.9600101314 -10420.8120379353 -8938.88772454307 70.710678 70.710678 150 21.3031469300959 
191000 191000 299.704043624385 31000 -10496.2675158614 -10504.5057482297 -8951.4521903448 70.710678 70.710678 150 21.3125155734286 
192000 192000 299.791706987378 31000 -10497.007958478 -10394.0516772871 -8869.71350162253 70.710678 70.710678 150 21.3519130394957 
193000 193000 299.951643537948 31000 -10462.1228587066 -10459.7388504957 -8904.20311548768 70.710678 70.710678 150 21.3511465263019 
194000 194000 297.941825501078 31000 -10281.9733612942 -10502.3758903056 -8808.73262295751 70.710678 70.710678 150 21.3171902371032 
195000 195000 295.985696249854 31000 -10323.7786277678 -10417.483413935 -8995.02493292372 70.710678 70.710678 150 21.27088807702 
196000 196000 300.829644805489 31000 -10394.7940398129 -10337.2833397454 -8902.24372667696 70.710678 70.710678 150 21.2271452624612 
197000 197000 301.878790495129 31000 -10351.7320868958 -10437.5607445176 -8883.87998973896 70.710678 70.710678 150 21.1490719898382 
198000 198000 300.375783425091 31000 -10205.6984831926 -10444.9147318967 -8694.89611210151 70.710678 70.710678 150 21.0337615882486 
199000 199000 301.787509785242 31000 -10442.1664984819 -10451.789417821 -8763.9575845793 70.710678 70.710678 150 21.0169774270633 
200000 200000 301.029413647983 31000 -10341.1503146649 -10269.255333173 -8864.48984765666 70.710678 70.710678 150 21.0704997349492 
201000 201000 297.434701841877 31000 -10359.1852297927 -10425.3565266932 -8955.98417894747 70.710678 70.710678 150 21.1584202678289 
202000 202000 300.643142357586 31000 -10465.3489722439 -10328.3947889373 -8829.7314930349 70.710678 70.710678 150 21.2433604268644 
203000 203000 302.463189871753 31000 -10382.0436296604 -10416.3672720838 -8967.76015596928 70.710678 70.710678 150 21.2828964637264 
204000 204000 301.566001200556 31000 -10463.1706736993 -10343.020630065 -8833.24026482974 70.710678 70.710678 150 21.3311402929925 
205000 205000 299.70554715221 31000 -10378.7851158669 -10527.3979659181 -8865.74246898118 70.710678 70.710678 150 21.3897923156891 
206000 206000 299.393798803643 31000 -10366.7956794679 -10297.0824778595 -8856.51291800148 70.710678 70.710678 150 21.3745201736664 
207000 207000 301.55595453355 31000 -10387.4233626114 -10359.0019907572 -8845.41974331827 70.710678 70.710678 150 21.3493628556876 
208000 208000 302.579504012744 31000 -10379.125385152 -10446.9540185484 -8832.11660699109 70.710678 70.710678 150 21.3953998370374 
209000 209000 301.324423475431 31000 -10377.0695342914 -10116.9097845307 -8854.27980941115 70.710678 70.710678 150 21.3737893410958 
210000 210000 300.374638801963 31000 -10358.7100118144 -10424.1078107613 -8898.47434631847 70.710678 70.710678 150 21.3275578150272 
211000 211000 299.880784074636 31000 -10378.0759578164 -10386.6343650771 -8762.89046860596 70.710678 70.710678 150 21.1897026484149 
212000 212000 299.482780046969 31000 -10412.966175112 -10324.937009563 -8806.51282960328 70.710678 70.710678 150 21.1067587376062 
213000 213000 299.300537274333 31000 -10295.9346500767 -10375.7417337419 -8889.59659647163 70.710678 70.710678 150 20.9966111431368 
214000 214000 301.02944585541 31000 -10362.1270555597 -10337.3029149459 -8680.83978053442 70.710678 70.710678 150 20.9048645090894 
215000 215000 302.116256830095 31000 -10381.6980747119 -10418.7184897533 -8684.93116902001 70.710678 70.710678 150 20.9173727233906 
216000 216000 300.572705011427 31000 -10294.0762005005 -10320.8936828895 -8607.58500400684 70.710678 70.710678 150 20.9153350531823 
217000 217000 300.672004488901 31000 -10414.2428099494 -10508.4934405004 -8955.58308109691 70.710678 70.710678 150 20.9612835225124 
